month_year,state_name,volume_in_cr,value_in_cr,users_in_lakhs,transactions_in_lakhs
May 2020,Andaman and Nicobar Islands,16,33,12.90,29.30
June 2020,Andaman and Nicobar Islands,18.25,37.6,14.75,33.40
July 2020,Andaman and Nicobar Islands,20.5,42.2,16.60,37.50
August 2020,Andaman and Nicobar Islands,22.75,46.8,18.45,41.60
September 2020,Andaman and Nicobar Islands,25,51.4,20.30,45.70
October 2020,Andaman and Nicobar Islands,27.25,56,22.15,49.80
November 2020,Andaman and Nicobar Islands,30,61.2,24.45,54.60
December 2020,Andaman and Nicobar Islands,33.25,67.4,27.30,60.40
January 2021,Andaman and Nicobar Islands,36.5,73.6,30.15,66.20
February 2021,Andaman and Nicobar Islands,39.75,79.8,33.00,72.00
March 2021,Andaman and Nicobar Islands,43,86,35.85,77.80
April 2021,Andaman and Nicobar Islands,46.25,92.2,38.70,83.60
May 2021,Andaman and Nicobar Islands,50.5,99.6,42.00,90.20
June 2021,Andaman and Nicobar Islands,54.75,107,45.30,96.80
July 2021,Andaman and Nicobar Islands,59,114.4,48.60,103.40
August 2021,Andaman and Nicobar Islands,63.25,121.8,51.90,110.00
September 2021,Andaman and Nicobar Islands,67.5,129.2,55.20,116.60
October 2021,Andaman and Nicobar Islands,71.75,136.6,58.50,123.20
November 2021,Andaman and Nicobar Islands,77.25,146.4,62.35,131.40
December 2021,Andaman and Nicobar Islands,83.5,157.4,66.85,140.70
January 2022,Andaman and Nicobar Islands,89.75,168.4,71.35,150.00
February 2022,Andaman and Nicobar Islands,96,179.4,75.85,159.30
March 2022,Andaman and Nicobar Islands,102.25,190.4,80.35,168.60
April 2022,Andaman and Nicobar Islands,108.5,201.4,84.85,177.90
May 2022,Andaman and Nicobar Islands,115.5,213.7,90.00,188.10
June 2022,Andaman and Nicobar Islands,127.25,236.9,100.50,208.90
July 2022,Andaman and Nicobar Islands,139,260.1,111.00,229.70
August 2022,Andaman and Nicobar Islands,150.75,283.3,121.50,250.50
September 2022,Andaman and Nicobar Islands,162.5,306.5,132.00,271.30
October 2022,Andaman and Nicobar Islands,182.25,347,148.50,306.00
November 2022,Andaman and Nicobar Islands,197.7,373.2,161.35,331.95
December 2022,Andaman and Nicobar Islands,214.4,402.8,175.70,360.45
January 2023,Andaman and Nicobar Islands,231.1,432.4,190.05,388.95
February 2023,Andaman and Nicobar Islands,241.65,454,198.55,408.30
March 2023,Andaman and Nicobar Islands,252.2,475.6,207.05,427.65
April 2023,Andaman and Nicobar Islands,262.75,497.2,215.55,447.00
May 2023,Andaman and Nicobar Islands,276.9,523.2,226.30,472.50
June 2023,Andaman and Nicobar Islands,305.6,580.9,250.95,525.50
July 2023,Andaman and Nicobar Islands,334.3,638.6,275.60,578.50
August 2023,Andaman and Nicobar Islands,363,696.3,300.25,631.50
September 2023,Andaman and Nicobar Islands,391.7,754,324.90,684.50
October 2023,Andaman and Nicobar Islands,420.4,811.7,349.55,737.50
April 2016,Andhra Pradesh,20.00,950.00,15.00,130.00
May 2016,Andhra Pradesh,22.00,"1,050.00",15.50,140.00
June 2016,Andhra Pradesh,24.00,"1,100.00",16.00,150.00
July 2016,Andhra Pradesh,26.00,"1,200.00",17.00,160.00
August 2016,Andhra Pradesh,25.00,"1,150.00",16.50,155.00
September 2016,Andhra Pradesh,27.00,"1,250.00",18.00,170.00
October 2016,Andhra Pradesh,30.00,"1,300.00",19.00,180.00
November 2016,Andhra Pradesh,35.00,"1,400.00",21.00,200.00
December 2016,Andhra Pradesh,45.00,"1,600.00",25.00,230.00
January 2017,Andhra Pradesh,40.00,"1,500.00",23.00,210.00
February 2017,Andhra Pradesh,42.00,"1,550.00",24.00,220.00
March 2017,Andhra Pradesh,50.00,"1,700.00",28.00,250.00
April 2017,Andhra Pradesh,55.00,"1,850.00",30.00,270.00
May 2017,Andhra Pradesh,60.00,"1,950.00",32.00,290.00
June 2017,Andhra Pradesh,62.00,"2,000.00",33.00,300.00
July 2017,Andhra Pradesh,65.00,"2,100.00",35.00,320.00
August 2017,Andhra Pradesh,70.00,"2,200.00",37.00,340.00
September 2017,Andhra Pradesh,75.00,"2,300.00",39.00,360.00
October 2017,Andhra Pradesh,80.00,"2,400.00",41.00,380.00
November 2017,Andhra Pradesh,85.00,"2,500.00",43.00,400.00
December 2017,Andhra Pradesh,90.00,"2,600.00",45.00,420.00
January 2018,Andhra Pradesh,95.00,"2,700.00",48.00,450.00
February 2018,Andhra Pradesh,100.00,"2,800.00",50.00,470.00
March 2018,Andhra Pradesh,120.00,"3,000.00",55.00,500.00
April 2018,Andhra Pradesh,140.00,"3,250.00",60.00,530.00
May 2018,Andhra Pradesh,160.00,"3,500.00",65.00,560.00
June 2018,Andhra Pradesh,180.00,"3,750.00",70.00,600.00
July 2018,Andhra Pradesh,200.00,"4,000.00",75.00,640.00
August 2018,Andhra Pradesh,220.00,"4,250.00",80.00,680.00
September 2018,Andhra Pradesh,240.00,"4,500.00",85.00,720.00
October 2018,Andhra Pradesh,260.00,"4,750.00",90.00,760.00
November 2018,Andhra Pradesh,280.00,"5,000.00",95.00,800.00
December 2018,Andhra Pradesh,320.00,"5,500.00",105.00,880.00
January 2019,Andhra Pradesh,340.00,"5,750.00",110.00,920.00
February 2019,Andhra Pradesh,360.00,"6,000.00",115.00,960.00
March 2019,Andhra Pradesh,380.00,"6,250.00",120.00,"1,000.00"
April 2019,Andhra Pradesh,400.00,"6,500.00",125.00,"1,040.00"
May 2019,Andhra Pradesh,450.00,"7,000.00",135.00,"1,150.00"
June 2019,Andhra Pradesh,500.00,"7,500.00",145.00,"1,260.00"
July 2019,Andhra Pradesh,550.00,"8,000.00",155.00,"1,370.00"
August 2019,Andhra Pradesh,600.00,"8,500.00",165.00,"1,480.00"
September 2019,Andhra Pradesh,650.00,"9,000.00",175.00,"1,590.00"
October 2019,Andhra Pradesh,700.00,"9,500.00",185.00,"1,700.00"
November 2019,Andhra Pradesh,750.00,"10,000.00",195.00,"1,810.00"
December 2019,Andhra Pradesh,800.00,"10,500.00",205.00,"1,920.00"
January 2020,Andhra Pradesh,850.00,"11,000.00",215.00,"2,030.00"
February 2020,Andhra Pradesh,900.00,"11,500.00",225.00,"2,140.00"
March 2020,Andhra Pradesh,920.00,"11,750.00",230.00,"2,200.00"
April 2020,Andhra Pradesh,940.00,"12,000.00",235.00,"2,260.00"
May 2020,Andhra Pradesh,960.00,"12,250.00",240.00,"2,320.00"
June 2020,Andhra Pradesh,"1,100.00","13,000.00",260.00,"2,500.00"
July 2020,Andhra Pradesh,"1,300.00","14,500.00",295.00,"2,800.00"
August 2020,Andhra Pradesh,"1,500.00","16,000.00",330.00,"3,100.00"
September 2020,Andhra Pradesh,"1,700.00","17,500.00",365.00,"3,400.00"
October 2020,Andhra Pradesh,"1,900.00","18,000.00",400.00,"3,700.00"
November 2020,Andhra Pradesh,"2,100.00","18,500.00",435.00,"4,000.00"
December 2020,Andhra Pradesh,"2,300.00","19,000.00",470.00,"4,300.00"
January 2021,Andhra Pradesh,"2,500.00","20,000.00",505.00,"4,600.00"
February 2021,Andhra Pradesh,"2,700.00","21,000.00",540.00,"4,900.00"
March 2021,Andhra Pradesh,"2,900.00","22,000.00",575.00,"5,200.00"
April 2021,Andhra Pradesh,"3,100.00","23,000.00",610.00,"5,500.00"
May 2021,Andhra Pradesh,"3,400.00","24,500.00",665.00,"6,000.00"
June 2021,Andhra Pradesh,"3,700.00","26,000.00",720.00,"6,500.00"
July 2021,Andhra Pradesh,"4,000.00","27,500.00",775.00,"7,000.00"
August 2021,Andhra Pradesh,"4,300.00","29,000.00",830.00,"7,500.00"
September 2021,Andhra Pradesh,"4,600.00","30,500.00",885.00,"8,000.00"
October 2021,Andhra Pradesh,"4,900.00","32,000.00",940.00,"8,500.00"
November 2021,Andhra Pradesh,"5,200.00","33,500.00",995.00,"9,000.00"
December 2021,Andhra Pradesh,"5,500.00","35,000.00","1,050.00","9,500.00"
January 2022,Andhra Pradesh,"6,000.00","37,500.00","1,125.00","10,250.00"
February 2022,Andhra Pradesh,"6,500.00","40,000.00","1,200.00","11,000.00"
March 2022,Andhra Pradesh,"7,000.00","42,500.00","1,275.00","11,750.00"
April 2022,Andhra Pradesh,"7,500.00","45,000.00","1,350.00","12,500.00"
May 2022,Andhra Pradesh,"8,000.00","47,500.00","1,425.00","13,250.00"
June 2022,Andhra Pradesh,"8,800.00","52,000.00","1,600.00","14,800.00"
July 2022,Andhra Pradesh,"9,600.00","56,500.00","1,775.00","16,350.00"
August 2022,Andhra Pradesh,"10,400.00","61,000.00","1,950.00","17,900.00"
September 2022,Andhra Pradesh,"11,200.00","65,500.00","2,125.00","19,450.00"
October 2022,Andhra Pradesh,"13,200.00","70,000.00","2,480.00","21,900.00"
November 2022,Andhra Pradesh,"14,380.00","76,000.00","2,720.00","24,000.00"
December 2022,Andhra Pradesh,"15,600.00","82,000.00","2,975.00","25,300.00"
January 2023,Andhra Pradesh,"17,000.00","88,500.00","3,200.00","26,700.00"
February 2023,Andhra Pradesh,"18,000.00","93,000.00","3,360.00","28,100.00"
March 2023,Andhra Pradesh,"19,000.00","97,500.00","3,525.00","29,550.00"
April 2023,Andhra Pradesh,"20,000.00","102,000.00","3,690.00","31,000.00"
May 2023,Andhra Pradesh,"21,300.00","108,000.00","3,855.00","32,500.00"
June 2023,Andhra Pradesh,"23,000.00","119,000.00","4,300.00","35,300.00"
July 2023,Andhra Pradesh,"24,700.00","127,000.00","4,645.00","38,100.00"
August 2023,Andhra Pradesh,"26,400.00","135,000.00","4,990.00","40,900.00"
September 2023,Andhra Pradesh,"28,100.00","143,000.00","5,335.00","43,700.00"
October 2023,Andhra Pradesh,"29,800.00","151,000.00","5,680.00","46,500.00"
April 2016,Arunachal Pradesh,0.05,0.20,0.01,0.10
May 2016,Arunachal Pradesh,0.06,0.25,0.02,0.15
June 2016,Arunachal Pradesh,0.07,0.30,0.03,0.20
July 2016,Arunachal Pradesh,0.08,0.35,0.04,0.25
August 2016,Arunachal Pradesh,0.09,0.40,0.05,0.30
September 2016,Arunachal Pradesh,0.10,0.45,0.06,0.35
October 2016,Arunachal Pradesh,0.12,0.50,0.08,0.40
November 2016,Arunachal Pradesh,0.15,0.55,0.10,0.50
December 2016,Arunachal Pradesh,0.20,0.60,0.15,0.60
January 2017,Arunachal Pradesh,0.25,0.65,0.20,0.70
February 2017,Arunachal Pradesh,0.30,0.70,0.25,0.80
March 2017,Arunachal Pradesh,0.35,0.75,0.30,0.90
April 2017,Arunachal Pradesh,0.40,0.80,0.35,1.00
May 2017,Arunachal Pradesh,0.45,0.85,0.40,1.20
June 2017,Arunachal Pradesh,0.50,0.90,0.45,1.40
July 2017,Arunachal Pradesh,0.60,1.00,0.55,1.60
August 2017,Arunachal Pradesh,0.70,1.10,0.65,1.80
September 2017,Arunachal Pradesh,0.80,1.20,0.75,2.00
October 2017,Arunachal Pradesh,0.90,1.30,0.85,2.20
November 2017,Arunachal Pradesh,1.00,1.40,0.95,2.40
December 2017,Arunachal Pradesh,1.20,1.60,1.10,2.70
January 2018,Arunachal Pradesh,1.40,1.80,1.25,3.00
February 2018,Arunachal Pradesh,1.60,2.00,1.40,3.30
March 2018,Arunachal Pradesh,1.80,2.20,1.55,3.60
April 2018,Arunachal Pradesh,2.00,2.40,1.70,3.90
May 2018,Arunachal Pradesh,2.25,2.65,1.90,4.30
June 2018,Arunachal Pradesh,2.50,2.90,2.10,4.70
July 2018,Arunachal Pradesh,2.75,3.15,2.30,5.10
August 2018,Arunachal Pradesh,3.00,3.40,2.50,5.50
September 2018,Arunachal Pradesh,3.30,3.70,2.75,6.00
October 2018,Arunachal Pradesh,3.60,4.00,3.00,6.50
November 2018,Arunachal Pradesh,3.90,4.30,3.25,7.00
December 2018,Arunachal Pradesh,4.35,4.75,3.60,7.70
January 2019,Arunachal Pradesh,4.80,5.20,3.95,8.40
February 2019,Arunachal Pradesh,5.25,5.65,4.30,9.10
March 2019,Arunachal Pradesh,5.70,6.10,4.65,9.80
April 2019,Arunachal Pradesh,6.15,6.55,5.00,10.50
May 2019,Arunachal Pradesh,6.75,7.20,5.50,11.50
June 2019,Arunachal Pradesh,7.35,7.85,6.00,12.50
July 2019,Arunachal Pradesh,7.95,8.50,6.50,13.50
August 2019,Arunachal Pradesh,8.55,9.15,7.00,14.50
September 2019,Arunachal Pradesh,9.15,9.80,7.50,15.50
October 2019,Arunachal Pradesh,9.75,10.45,8.00,16.50
November 2019,Arunachal Pradesh,10.50,11.25,8.60,17.80
December 2019,Arunachal Pradesh,11.40,12.20,9.30,19.40
January 2020,Arunachal Pradesh,12.30,13.15,10.00,21.00
February 2020,Arunachal Pradesh,13.20,14.10,10.70,22.60
March 2020,Arunachal Pradesh,14.10,15.05,11.40,24.20
April 2020,Arunachal Pradesh,15.00,16.00,12.10,25.80
May 2020,Arunachal Pradesh,16.00,17.00,12.90,27.60
June 2020,Arunachal Pradesh,18.25,19.50,14.75,31.60
July 2020,Arunachal Pradesh,20.50,22.00,16.60,35.60
August 2020,Arunachal Pradesh,22.75,24.50,18.45,39.60
September 2020,Arunachal Pradesh,25.00,27.00,20.30,43.60
October 2020,Arunachal Pradesh,27.25,29.50,22.15,47.60
November 2020,Arunachal Pradesh,30.00,32.50,24.45,52.20
December 2020,Arunachal Pradesh,33.25,36.00,27.30,57.80
January 2021,Arunachal Pradesh,36.50,39.50,30.15,63.40
February 2021,Arunachal Pradesh,39.75,43.00,33.00,69.00
March 2021,Arunachal Pradesh,43.00,46.50,35.85,74.60
April 2021,Arunachal Pradesh,46.25,50.00,38.70,80.20
May 2021,Arunachal Pradesh,50.50,54.00,42.00,86.40
June 2021,Arunachal Pradesh,54.75,58.00,45.30,92.60
July 2021,Arunachal Pradesh,59.00,62.00,48.60,98.80
August 2021,Arunachal Pradesh,63.25,66.00,51.90,105.00
September 2021,Arunachal Pradesh,67.50,70.00,55.20,111.20
October 2021,Arunachal Pradesh,71.75,74.00,58.50,117.40
November 2021,Arunachal Pradesh,77.25,79.00,62.35,124.80
December 2021,Arunachal Pradesh,83.50,85.00,66.85,133.00
January 2022,Arunachal Pradesh,89.75,91.00,71.35,141.20
February 2022,Arunachal Pradesh,96.00,97.00,75.85,149.40
March 2022,Arunachal Pradesh,102.25,103.00,80.35,157.60
April 2022,Arunachal Pradesh,108.50,109.00,84.85,165.80
May 2022,Arunachal Pradesh,115.50,116.00,90.00,175.00
June 2022,Arunachal Pradesh,127.25,128.00,100.50,191.25
July 2022,Arunachal Pradesh,139.00,140.00,111.00,207.50
August 2022,Arunachal Pradesh,150.75,152.00,121.50,223.75
September 2022,Arunachal Pradesh,162.50,164.00,132.00,240.00
October 2022,Arunachal Pradesh,182.25,185.00,148.50,270.00
November 2022,Arunachal Pradesh,197.70,201.50,161.35,292.50
December 2022,Arunachal Pradesh,214.40,219.50,175.70,317.50
January 2023,Arunachal Pradesh,231.10,237.50,190.05,342.50
February 2023,Arunachal Pradesh,241.65,248.50,198.55,359.60
March 2023,Arunachal Pradesh,252.20,259.50,207.05,376.70
April 2023,Arunachal Pradesh,262.75,270.50,215.55,393.80
May 2023,Arunachal Pradesh,276.90,284.00,226.30,413.50
June 2023,Arunachal Pradesh,305.60,313.50,250.95,459.00
July 2023,Arunachal Pradesh,334.30,343.00,275.60,504.50
August 2023,Arunachal Pradesh,363.00,372.50,300.25,550.00
September 2023,Arunachal Pradesh,391.70,402.00,324.90,595.50
October 2023,Arunachal Pradesh,420.40,431.50,349.55,641.00
April 2016,Assam,20.00,200.00,10.00,100.00
May 2016,Assam,22.00,220.00,11.00,110.00
June 2016,Assam,24.00,240.00,12.00,120.00
July 2016,Assam,26.00,260.00,13.00,130.00
August 2016,Assam,28.00,280.00,14.00,140.00
September 2016,Assam,30.00,300.00,15.00,150.00
October 2016,Assam,32.00,320.00,16.00,160.00
November 2016,Assam,34.00,340.00,17.00,170.00
December 2016,Assam,36.00,360.00,18.00,180.00
January 2017,Assam,38.00,380.00,19.00,190.00
February 2017,Assam,40.00,400.00,20.00,200.00
March 2017,Assam,42.00,420.00,21.00,210.00
April 2017,Assam,44.00,440.00,22.00,220.00
May 2017,Assam,46.00,460.00,23.00,230.00
June 2017,Assam,48.00,480.00,24.00,240.00
July 2017,Assam,50.00,500.00,25.00,250.00
August 2017,Assam,52.00,520.00,26.00,260.00
September 2017,Assam,54.00,540.00,27.00,270.00
October 2017,Assam,56.00,560.00,28.00,280.00
November 2017,Assam,58.00,580.00,29.00,290.00
December 2017,Assam,60.00,600.00,30.00,300.00
January 2018,Assam,62.00,620.00,31.00,310.00
February 2018,Assam,64.00,640.00,32.00,320.00
March 2018,Assam,66.00,660.00,33.00,330.00
April 2018,Assam,68.00,680.00,34.00,340.00
May 2018,Assam,70.00,700.00,35.00,350.00
June 2018,Assam,72.00,720.00,36.00,360.00
July 2018,Assam,74.00,740.00,37.00,370.00
August 2018,Assam,76.00,760.00,38.00,380.00
September 2018,Assam,78.00,780.00,39.00,390.00
October 2018,Assam,80.00,800.00,40.00,400.00
November 2018,Assam,85.00,850.00,42.50,425.00
December 2018,Assam,90.00,900.00,45.00,450.00
January 2019,Assam,95.00,950.00,47.50,475.00
February 2019,Assam,100.00,"1,000.00",50.00,500.00
March 2019,Assam,105.00,"1,050.00",52.50,525.00
April 2019,Assam,110.00,"1,100.00",55.00,550.00
May 2019,Assam,120.00,"1,200.00",60.00,600.00
June 2019,Assam,130.00,"1,300.00",65.00,650.00
July 2019,Assam,140.00,"1,400.00",70.00,700.00
August 2019,Assam,150.00,"1,500.00",75.00,750.00
September 2019,Assam,160.00,"1,600.00",80.00,800.00
October 2019,Assam,170.00,"1,700.00",85.00,850.00
November 2019,Assam,180.00,"1,800.00",90.00,900.00
December 2019,Assam,190.00,"1,900.00",95.00,950.00
January 2020,Assam,200.00,"2,000.00",100.00,"1,000.00"
February 2020,Assam,210.00,"2,100.00",105.00,"1,050.00"
March 2020,Assam,220.00,"2,200.00",110.00,"1,100.00"
April 2020,Assam,225.00,"2,250.00",112.50,"1,125.00"
May 2020,Assam,230.00,"2,300.00",115.00,"1,150.00"
June 2020,Assam,260.00,"2,600.00",130.00,"1,300.00"
July 2020,Assam,290.00,"2,900.00",145.00,"1,450.00"
August 2020,Assam,320.00,"3,200.00",160.00,"1,600.00"
September 2020,Assam,350.00,"3,500.00",175.00,"1,750.00"
October 2020,Assam,380.00,"3,800.00",190.00,"1,900.00"
November 2020,Assam,410.00,"4,100.00",205.00,"2,050.00"
December 2020,Assam,440.00,"4,400.00",220.00,"2,200.00"
January 2021,Assam,470.00,"4,700.00",235.00,"2,350.00"
February 2021,Assam,500.00,"5,000.00",250.00,"2,500.00"
March 2021,Assam,530.00,"5,300.00",265.00,"2,650.00"
April 2021,Assam,560.00,"5,600.00",280.00,"2,800.00"
May 2021,Assam,600.00,"6,000.00",300.00,"3,000.00"
June 2021,Assam,640.00,"6,400.00",320.00,"3,200.00"
July 2021,Assam,680.00,"6,800.00",340.00,"3,400.00"
August 2021,Assam,720.00,"7,200.00",360.00,"3,600.00"
September 2021,Assam,760.00,"7,600.00",380.00,"3,800.00"
October 2021,Assam,800.00,"8,000.00",400.00,"4,000.00"
November 2021,Assam,850.00,"8,500.00",425.00,"4,250.00"
December 2021,Assam,900.00,"9,000.00",450.00,"4,500.00"
January 2022,Assam,975.00,"9,750.00",487.50,"4,875.00"
February 2022,Assam,"1,050.00","10,500.00",525.00,"5,250.00"
March 2022,Assam,"1,125.00","11,250.00",562.50,"5,625.00"
April 2022,Assam,"1,200.00","12,000.00",600.00,"6,000.00"
May 2022,Assam,"1,275.00","12,750.00",637.50,"6,375.00"
June 2022,Assam,"1,400.00","14,000.00",700.00,"7,000.00"
July 2022,Assam,"1,515.00","15,150.00",757.50,"7,575.00"
August 2022,Assam,"1,630.00","16,300.00",815.00,"8,150.00"
September 2022,Assam,"1,745.00","17,450.00",872.50,"8,725.00"
October 2022,Assam,"1,980.00","19,800.00",990.00,"9,900.00"
November 2022,Assam,"2,145.00","21,450.00","1,072.50","10,725.00"
December 2022,Assam,"2,325.00","23,250.00","1,170.00","11,700.00"
January 2023,Assam,"2,500.00","25,000.00","1,250.00","12,500.00"
February 2023,Assam,"2,625.00","26,250.00","1,312.50","13,125.00"
March 2023,Assam,"2,750.00","27,500.00","1,375.00","13,750.00"
April 2023,Assam,"2,875.00","28,750.00","1,437.50","14,375.00"
May 2023,Assam,"3,038.00","30,380.00","1,512.50","15,125.00"
June 2023,Assam,"3,375.00","33,750.00","1,687.50","16,875.00"
July 2023,Assam,"3,713.00","37,125.00","1,862.50","18,625.00"
August 2023,Assam,"4,050.00","40,500.00","2,037.50","20,375.00"
September 2023,Assam,"4,388.00","43,875.00","2,212.50","22,125.00"
October 2023,Assam,"4,725.00","47,250.00","2,387.50","23,875.00"
April 2016,Bihar,100.00,500.00,50.00,250.00
May 2016,Bihar,110.00,550.00,55.00,275.00
June 2016,Bihar,120.00,600.00,60.00,300.00
July 2016,Bihar,130.00,650.00,65.00,325.00
August 2016,Bihar,140.00,700.00,70.00,350.00
September 2016,Bihar,150.00,750.00,75.00,375.00
October 2016,Bihar,160.00,800.00,80.00,400.00
November 2016,Bihar,170.00,850.00,85.00,425.00
December 2016,Bihar,180.00,900.00,90.00,450.00
January 2017,Bihar,190.00,950.00,95.00,475.00
February 2017,Bihar,200.00,"1,000.00",100.00,500.00
March 2017,Bihar,210.00,"1,050.00",105.00,525.00
April 2017,Bihar,220.00,"1,100.00",110.00,550.00
May 2017,Bihar,230.00,"1,150.00",115.00,575.00
June 2017,Bihar,240.00,"1,200.00",120.00,600.00
July 2017,Bihar,250.00,"1,250.00",125.00,625.00
August 2017,Bihar,260.00,"1,300.00",130.00,650.00
September 2017,Bihar,270.00,"1,350.00",135.00,675.00
October 2017,Bihar,280.00,"1,400.00",140.00,700.00
November 2017,Bihar,290.00,"1,450.00",145.00,725.00
December 2017,Bihar,300.00,"1,500.00",150.00,750.00
January 2018,Bihar,310.00,"1,550.00",155.00,775.00
February 2018,Bihar,320.00,"1,600.00",160.00,800.00
March 2018,Bihar,330.00,"1,650.00",165.00,825.00
April 2018,Bihar,340.00,"1,700.00",170.00,850.00
May 2018,Bihar,350.00,"1,750.00",175.00,875.00
June 2018,Bihar,360.00,"1,800.00",180.00,900.00
July 2018,Bihar,370.00,"1,850.00",185.00,925.00
August 2018,Bihar,380.00,"1,900.00",190.00,950.00
September 2018,Bihar,390.00,"1,950.00",195.00,975.00
October 2018,Bihar,400.00,"2,000.00",200.00,"1,000.00"
November 2018,Bihar,420.00,"2,100.00",210.00,"1,050.00"
December 2018,Bihar,440.00,"2,200.00",220.00,"1,100.00"
January 2019,Bihar,460.00,"2,300.00",230.00,"1,150.00"
February 2019,Bihar,480.00,"2,400.00",240.00,"1,200.00"
March 2019,Bihar,500.00,"2,500.00",250.00,"1,250.00"
April 2019,Bihar,520.00,"2,600.00",260.00,"1,300.00"
May 2019,Bihar,560.00,"2,800.00",280.00,"1,400.00"
June 2019,Bihar,600.00,"3,000.00",300.00,"1,500.00"
July 2019,Bihar,640.00,"3,200.00",320.00,"1,600.00"
August 2019,Bihar,680.00,"3,400.00",340.00,"1,700.00"
September 2019,Bihar,720.00,"3,600.00",360.00,"1,800.00"
October 2019,Bihar,760.00,"3,800.00",380.00,"1,900.00"
November 2019,Bihar,800.00,"4,000.00",400.00,"2,000.00"
December 2019,Bihar,840.00,"4,200.00",420.00,"2,100.00"
January 2020,Bihar,880.00,"4,400.00",440.00,"2,200.00"
February 2020,Bihar,920.00,"4,600.00",460.00,"2,300.00"
March 2020,Bihar,960.00,"4,800.00",480.00,"2,400.00"
April 2020,Bihar,980.00,"4,900.00",485.00,"2,450.00"
May 2020,Bihar,"1,000.00","5,000.00",490.00,"2,500.00"
June 2020,Bihar,"1,140.00","5,700.00",560.00,"2,800.00"
July 2020,Bihar,"1,280.00","6,400.00",640.00,"3,200.00"
August 2020,Bihar,"1,420.00","7,100.00",720.00,"3,600.00"
September 2020,Bihar,"1,560.00","7,800.00",800.00,"4,000.00"
October 2020,Bihar,"1,700.00","8,500.00",880.00,"4,400.00"
November 2020,Bihar,"1,840.00","9,200.00",960.00,"4,800.00"
December 2020,Bihar,"1,980.00","9,900.00","1,040.00","5,200.00"
